epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4278,0.85624,0.46513,0.9855,0.82275,0.78298,0.82911,0.43837,1.63742,1.00487,1.31543,0.00052,0.00052,0.00052
2,18.3526,0.89772,0.51102,0.9983,0.79753,0.85106,0.86368,0.47217,1.5993,0.89477,1.33358,0.00103901,0.00103901,0.00103901
3,26.8561,0.89753,0.52668,1.00345,0.87276,0.80851,0.88749,0.487,1.56136,0.91692,1.29212,0.00153664,0.00153664,0.00153664
4,33.9067,0.97311,0.57374,1.05029,0.83444,0.87936,0.88044,0.49747,1.62849,0.84058,1.34723,0.0018812,0.0018812,0.0018812
5,40.9313,0.98768,0.61168,1.05037,0.86455,0.86809,0.90022,0.48439,1.58189,0.87106,1.29978,0.0018416,0.0018416,0.0018416
6,48.0851,1.00456,0.60495,1.03852,0.83638,0.87006,0.87837,0.45246,1.6338,0.89717,1.35171,0.001802,0.001802,0.001802
7,55.1267,0.99896,0.59122,1.06156,0.896,0.8,0.87522,0.46253,1.64461,0.86376,1.37893,0.0017624,0.0017624,0.0017624
8,62.2548,0.96156,0.5605,1.0304,0.85341,0.86709,0.89995,0.47432,1.61885,0.83191,1.34493,0.0017228,0.0017228,0.0017228
9,69.3523,0.99032,0.58043,1.03651,0.86591,0.82438,0.88532,0.49804,1.59439,0.79892,1.33532,0.0016832,0.0016832,0.0016832
10,76.4409,1.00069,0.58434,1.0435,0.81043,0.87234,0.88317,0.50016,1.58442,0.83063,1.3165,0.0016436,0.0016436,0.0016436
11,83.6545,0.9774,0.5641,1.02931,0.86465,0.84255,0.89965,0.47595,1.61959,0.847,1.34788,0.001604,0.001604,0.001604
12,90.8467,1.00112,0.56958,1.05243,0.84371,0.86809,0.89659,0.50333,1.53902,0.80127,1.29078,0.0015644,0.0015644,0.0015644
13,98.0712,0.97576,0.56634,1.03577,0.87517,0.83535,0.88664,0.48156,1.59214,0.81034,1.33313,0.0015248,0.0015248,0.0015248
14,105.342,0.96201,0.55928,1.02887,0.90093,0.88085,0.91122,0.51197,1.53094,0.78862,1.30693,0.0014852,0.0014852,0.0014852
15,112.752,0.90848,0.52567,1.0057,0.88799,0.85532,0.91772,0.49144,1.60715,0.81709,1.36908,0.0014456,0.0014456,0.0014456
16,119.981,0.95944,0.53534,1.02855,0.88443,0.87927,0.91518,0.5061,1.56635,0.76269,1.30543,0.001406,0.001406,0.001406
17,127.184,0.93213,0.52795,1.02246,0.88103,0.86383,0.90963,0.51411,1.57259,0.78815,1.33139,0.0013664,0.0013664,0.0013664
18,134.687,0.92117,0.51938,1.03104,0.90445,0.85106,0.91035,0.51006,1.55263,0.74838,1.33067,0.0013268,0.0013268,0.0013268
19,142.644,0.9145,0.50923,1.00288,0.85706,0.85957,0.90237,0.49657,1.5623,0.78904,1.34119,0.0012872,0.0012872,0.0012872
20,150.052,0.94716,0.53942,1.0287,0.89666,0.84921,0.91765,0.5022,1.57627,0.79916,1.31715,0.0012476,0.0012476,0.0012476
21,157.683,0.90136,0.52616,1.00031,0.86469,0.87019,0.91928,0.50832,1.54915,0.74028,1.30573,0.001208,0.001208,0.001208
22,164.955,0.89292,0.51075,0.98984,0.83827,0.88936,0.91819,0.51282,1.61625,0.80763,1.35638,0.0011684,0.0011684,0.0011684
23,172.045,0.91013,0.50083,1.004,0.90354,0.85106,0.91872,0.51589,1.57045,0.79809,1.31587,0.0011288,0.0011288,0.0011288
24,179.258,0.8996,0.50458,1.00617,0.82791,0.91064,0.90883,0.50301,1.61165,0.73356,1.37028,0.0010892,0.0010892,0.0010892
25,186.465,0.91342,0.50823,1.01462,0.86909,0.86809,0.9116,0.50163,1.57013,0.75157,1.34605,0.0010496,0.0010496,0.0010496
26,193.699,0.86476,0.48283,0.99333,0.90969,0.8766,0.9492,0.53219,1.54928,0.72488,1.35255,0.00101,0.00101,0.00101
27,200.931,0.87937,0.48422,1.00789,0.92241,0.82979,0.92834,0.51585,1.60913,0.75523,1.36364,0.0009704,0.0009704,0.0009704
28,208.161,0.8433,0.47385,0.9709,0.8599,0.88801,0.92613,0.52622,1.58714,0.76746,1.35384,0.0009308,0.0009308,0.0009308
29,215.427,0.85941,0.47527,0.99492,0.84266,0.91159,0.93049,0.52507,1.5657,0.72352,1.34928,0.0008912,0.0008912,0.0008912
30,223.028,0.84755,0.4812,0.98894,0.88023,0.87568,0.91003,0.51754,1.55356,0.7539,1.32783,0.0008516,0.0008516,0.0008516
31,231.005,0.82633,0.45851,0.96983,0.9099,0.84255,0.92556,0.52594,1.58961,0.77054,1.33579,0.000812,0.000812,0.000812
32,238.738,0.81195,0.44299,0.96965,0.89125,0.89362,0.92803,0.5229,1.55322,0.74676,1.35077,0.0007724,0.0007724,0.0007724
33,246.96,0.82553,0.45902,0.96651,0.91385,0.86383,0.91824,0.5327,1.56306,0.75336,1.33145,0.0007328,0.0007328,0.0007328
34,254.224,0.82426,0.45371,0.97871,0.88767,0.88936,0.92685,0.52211,1.57463,0.74657,1.34912,0.0006932,0.0006932,0.0006932
35,261.593,0.82225,0.44388,0.96928,0.88895,0.89787,0.932,0.53279,1.56523,0.73857,1.33436,0.0006536,0.0006536,0.0006536
36,268.89,0.81144,0.43702,0.96598,0.87697,0.87965,0.92749,0.53032,1.54886,0.737,1.32297,0.000614,0.000614,0.000614
37,276.359,0.7959,0.45225,0.96161,0.93523,0.85106,0.93242,0.53485,1.54187,0.73103,1.3216,0.0005744,0.0005744,0.0005744
38,283.993,0.81026,0.44781,0.96669,0.88867,0.88936,0.92838,0.53754,1.54261,0.7413,1.32678,0.0005348,0.0005348,0.0005348
39,291.636,0.77928,0.42859,0.96014,0.865,0.89974,0.92763,0.52918,1.53564,0.74326,1.32441,0.0004952,0.0004952,0.0004952
40,299.099,0.77237,0.41574,0.95785,0.91826,0.85957,0.92964,0.52198,1.5656,0.72382,1.35381,0.0004556,0.0004556,0.0004556
41,346.778,0.74475,0.37674,0.9153,0.90672,0.91004,0.92689,0.5218,1.57857,0.72579,1.37325,0.000416,0.000416,0.000416
42,353.908,0.73616,0.36588,0.9204,0.87165,0.87234,0.90945,0.52382,1.56781,0.72397,1.36802,0.0003764,0.0003764,0.0003764
43,361.356,0.6982,0.34634,0.91131,0.91517,0.8722,0.93202,0.53828,1.55544,0.73693,1.35741,0.0003368,0.0003368,0.0003368
44,368.478,0.69174,0.34834,0.9109,0.91461,0.86595,0.92724,0.54485,1.55986,0.73856,1.34024,0.0002972,0.0002972,0.0002972
45,375.528,0.68424,0.33762,0.90454,0.89321,0.88977,0.93263,0.54492,1.54993,0.725,1.34832,0.0002576,0.0002576,0.0002576
46,382.653,0.6938,0.3426,0.90269,0.9039,0.88085,0.92682,0.53468,1.5611,0.7236,1.35828,0.000218,0.000218,0.000218
47,389.783,0.67674,0.33209,0.89668,0.8801,0.90213,0.92555,0.53383,1.53776,0.70487,1.3508,0.0001784,0.0001784,0.0001784
48,396.981,0.64958,0.32772,0.88041,0.91991,0.87981,0.92656,0.53819,1.54721,0.70804,1.35267,0.0001388,0.0001388,0.0001388
49,404.642,0.65725,0.32971,0.89822,0.9125,0.88085,0.92602,0.53536,1.54667,0.71821,1.35644,9.92e-05,9.92e-05,9.92e-05
50,412.883,0.65331,0.33072,0.89012,0.90271,0.88936,0.92981,0.54371,1.53844,0.7168,1.35599,5.96e-05,5.96e-05,5.96e-05
