epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6974,1.86175,3.41091,1.54263,0.00244,0.74894,0.06776,0.02193,1.71618,4.13045,1.28705,0.000654088,0.000654088,0.000654088
2,21.0254,1.68894,2.31152,1.46806,0.03487,0.05106,0.02005,0.00876,1.84518,5.44763,1.41415,0.0012946,0.0012946,0.0012946
3,29.5336,1.71266,2.02472,1.48844,0.64425,0.51064,0.57631,0.28281,1.72777,1.99326,1.40288,0.00190872,0.00190872,0.00190872
4,37.8647,1.62717,1.74063,1.41758,0.54607,0.3234,0.37256,0.18516,1.78669,2.38873,1.4513,0.0018812,0.0018812,0.0018812
5,46.0171,1.59985,1.49048,1.40923,0.66845,0.63486,0.65941,0.31894,1.76051,1.55862,1.38236,0.0018416,0.0018416,0.0018416
6,54.4336,1.6525,1.50823,1.43167,0.59517,0.65957,0.66533,0.30293,1.8575,1.64176,1.43585,0.001802,0.001802,0.001802
7,62.6581,1.56297,1.36504,1.39515,0.74325,0.59149,0.67419,0.34194,1.63231,1.43527,1.29526,0.0017624,0.0017624,0.0017624
8,70.6128,1.51354,1.2331,1.31783,0.74559,0.64255,0.72273,0.35393,1.76797,1.36081,1.36575,0.0017228,0.0017228,0.0017228
9,78.6582,1.47421,1.13381,1.33428,0.83964,0.77447,0.85808,0.43299,1.56536,1.38049,1.28235,0.0016832,0.0016832,0.0016832
10,86.6445,1.4518,1.10798,1.29716,0.79174,0.82503,0.85127,0.43456,1.60793,1.09237,1.25925,0.0016436,0.0016436,0.0016436
11,94.6285,1.46989,1.13531,1.30573,0.85572,0.78241,0.86882,0.44455,1.58051,1.19166,1.31206,0.001604,0.001604,0.001604
12,102.615,1.4458,1.08172,1.29691,0.77814,0.61193,0.74234,0.3698,1.66055,1.48609,1.25277,0.0015644,0.0015644,0.0015644
13,110.659,1.45932,1.07128,1.32543,0.76313,0.70638,0.76989,0.37248,1.70357,1.4955,1.38015,0.0015248,0.0015248,0.0015248
14,118.73,1.39852,1.02128,1.27902,0.89628,0.70213,0.8335,0.41144,1.60949,1.08799,1.30526,0.0014852,0.0014852,0.0014852
15,126.765,1.3754,0.9802,1.23781,0.9016,0.75745,0.86718,0.46728,1.59638,1.02104,1.27555,0.0014456,0.0014456,0.0014456
16,134.795,1.39153,0.96943,1.259,0.85118,0.81702,0.87706,0.47578,1.52816,1.10078,1.2505,0.001406,0.001406,0.001406
17,142.858,1.38073,0.94881,1.25881,0.86706,0.82128,0.8751,0.46585,1.56819,0.97916,1.28238,0.0013664,0.0013664,0.0013664
18,150.779,1.32652,0.90439,1.21971,0.92433,0.77969,0.8883,0.48909,1.49784,1.02277,1.22395,0.0013268,0.0013268,0.0013268
19,158.822,1.32668,0.87347,1.21081,0.86594,0.85106,0.90308,0.49662,1.55086,0.92131,1.23727,0.0012872,0.0012872,0.0012872
20,166.894,1.299,0.87447,1.20527,0.82683,0.76596,0.86215,0.47784,1.57978,0.95423,1.29338,0.0012476,0.0012476,0.0012476
21,174.928,1.33593,0.84068,1.20794,0.81912,0.77081,0.84443,0.45815,1.62754,1.17424,1.28839,0.001208,0.001208,0.001208
22,182.874,1.36361,0.88895,1.23088,0.89175,0.80624,0.89703,0.48638,1.55189,0.93007,1.24713,0.0011684,0.0011684,0.0011684
23,190.962,1.25449,0.79188,1.18536,0.87268,0.79574,0.87969,0.48304,1.5636,0.9557,1.24259,0.0011288,0.0011288,0.0011288
24,198.941,1.23636,0.7887,1.17842,0.85696,0.74043,0.87229,0.45233,1.58198,0.98151,1.28434,0.0010892,0.0010892,0.0010892
